Province,RUTP (Household),Individual (Unit)
Aceh,186,188
Sumatera Utara,493,494
Sumatera Barat,246,250
Riau,291,294
Jambi,139,139
Sumatera Selatan,225,226
Bengkulu,70,70
Lampung,360,363
Bangka Belitung,85,85
Kepulauan Riau,142,142
DKI Jakarta,199,199
Jawa Barat,3213,3231
Jawa Tengah,1947,1953
DI Yogyakarta,411,415
Jawa Timur,2448,2490
Banten,451,452
Bali,77,77
Nusa Tenggara Barat,183,183
Nusa Tenggara Timur,69,70
Kalimantan Barat,185,186
Kalimantan Tengah,140,141
Kalimantan Selatan,216,218
Kalimantan Timur,388,390
Kalimantan Utara,56,56
Sulawesi Utara,70,72
Sulawesi Tengah,60,60
Sulawesi Selatan,206,208
Sulawesi Tenggara,87,88
Gorontalo,24,24
Sulawesi Barat,20,20
Maluku,58,58
Maluku Utara,40,40
Papua Barat,24,25
Papua Barat Daya,15,16
Papua,68,69
Papua Selatan,17,17
Papua Tengah,9,9
Papua Pegunungan,1,1
