Province,Farmers Group,Farmers Association,Farmers,Groups per 1000 Farmers,Association per 1000 Farmers,A1
Aceh,32137,4609,842852,38.128876718569806,5.468338450878683,0.39686629571801896
Bali,12981,940,476677,27.232276782811002,1.9719852226979693,0.2561589492885115
Bangka Belitung,5927,340,152993,38.74033452510899,2.222323897171766,0.40476202520418597
Banten,9746,1327,599926,16.2453369248874,2.211939472534946,0.11428504716278706
Bengkulu,13112,1241,470332,27.878179668829677,2.6385616968439316,0.264499466668121
DI Yogyakarta,9794,443,408013,24.00413712308186,1.0857497187589613,0.21447411474358702
DKI Jakarta,527,75,15080,34.94694960212202,4.973474801061008,0.35577820184222186
Gorontalo,9359,666,162256,57.68045557637314,4.10462479045459,0.6493350286996519
Jambi,16547,1467,786658,21.034553770507642,1.8648510534438092,0.17612800714990104
Jawa Barat,57746,5455,3376031,17.104700756598504,1.6158026984941785,0.12538197694734768
Jawa Tengah,64208,8244,4585076,14.003693722852141,1.79800727403428,0.08533880076852948
Jawa Timur,50251,8046,6795339,7.394921725023579,1.1840468886099722,0.0
Kalimantan Barat,23745,1572,1241820,19.12112866599024,1.265883944533024,0.1514200275383234
Kalimantan Selatan,16169,1873,547861,29.512960404190114,3.418750376464103,0.2856093230107204
Kalimantan Tengah,11343,1066,403255,28.128603489107388,2.643488611424533,0.2677331791510748
Kalimantan Timur,10344,686,285347,36.25060014648831,2.4040904582841245,0.3726121876589536
Kalimantan Utara,2307,220,83532,27.61815831058756,2.6337212086386055,0.26114182157250004
Kepulauan Riau,1968,218,28514,69.01872764256154,7.6453671880479765,0.7957456691686765
Lampung,36117,2437,1904697,18.96207113257384,1.2794685978924731,0.149366124156664
Maluku,8395,406,222007,37.814122978104294,1.8287711648731797,0.3928018936237174
Maluku Utara,6653,581,132564,50.18707944841737,4.382788690745603,0.5525733712120908
Nusa Tenggara Barat,25907,1225,881456,29.39114374398722,1.389746056524659,0.2840363094919066
Nusa Tenggara Timur,37180,2679,1307133,28.443930342206954,2.0495236521455733,0.2718049818252286
Papua,12162,1692,1556857,7.811892807110737,1.0868050180588198,0.0053843304190499906
Papua Barat,4379,831,164037,26.695196815352634,5.065930247444174,0.24922365777675146
Riau,22009,1564,1062558,20.713222242926975,1.4719196505037841,0.17197866636134548
Sulawesi Barat,11869,501,323086,36.73634883591366,1.550670719251221,0.37888464049044246
Sulawesi Selatan,56661,2777,1390298,40.754572041389686,1.9974135041552246,0.4307717913390828
Sulawesi Tengah,24559,1677,550140,44.64136401643218,3.0483149743701605,0.48096177611928925
Sulawesi Tenggara,14532,1661,324273,44.814091830032105,5.122227259130423,0.4831922032662435
Sulawesi Utara,20647,1249,243374,84.83650677557996,5.132019032435675,1.0
Sumatera Barat,21656,1319,902400,23.99822695035461,1.4616578014184398,0.21439779692644273
Sumatera Selatan,36131,2874,1858208,19.44400196318173,1.5466513974754172,0.15558927713439905
Sumatera Utara,45145,3434,2380891,18.961388824603898,1.442317182936976,0.14935731354193427
