Province,Total Farmers,Under 19,Between 19 and 39,Over 39,Not Using (19<x<39),Total,Use Technology (%),A3
Aceh,797962,238,136159,382734,8672,605851,65.05710798258563,0.9269578061586418
Bali,361673,27,23162,160175,31746,21511,50.69883568859163,0.713494753002341
Bangka Belitung,151783,61,20688,38757,29455,88961,39.20465401263647,0.542611859584244
Banten,580396,28,46561,232245,63885,342719,48.04202647847332,0.6739962260185017
Bengkulu,332360,103,45578,107718,51061,20446,46.154471055482006,0.6459341210978422
DI Yogyakarta,418811,47,16423,168996,20718,206184,44.28393714587248,0.6181250733794296
DKI Jakarta,8347,5,796,3384,1772,5957,50.137774050557084,0.7051535035949296
Gorontalo,139383,77,22489,55983,19401,9795,56.35479219130023,0.797581314314626
Jambi,557623,73,47223,121901,108061,277258,30.342543259514045,0.4108597114123432
Jawa Barat,3159485,296,24239,1316743,300654,1860083,42.45242499964393,0.5908961584639261
Jawa Tengah,4211996,408,303823,1955206,321984,2581421,53.642904694116524,0.7572639437346449
Jawa Timur,5507699,616,425861,2264127,545241,3235845,48.851689244455805,0.6860334044836219
Kalimantan Barat,706928,59,41347,120083,162508,323997,22.843769096711405,0.29937615719732774
Kalimantan Selatan,459453,132,44022,140876,72794,257824,40.2718014682677,0.5584770381644207
Kalimantan Tengah,287876,39,213,60987,61349,143675,21.272700746154594,0.2760192351415055
Kalimantan Timur,182991,48,15941,59318,29626,104933,41.15339005743452,0.5715835309246969
Kalimantan Utara,45020,35,5356,12479,10897,28767,39.693469569080406,0.5498790334455772
Kepulauan Riau,50607,29,4737,14111,13879,32756,37.301163870610786,0.5143128547283682
Lampung,1340261,296,200129,611738,137358,949521,60.597376182698746,0.8606554024453265
Maluku,192078,10,3807,8788,55207,67812,6.562438176157602,0.057323176407761064
Maluku Utara,148478,5,2847,7748,38314,48914,7.139104783200205,0.06589642338846428
Nusa Tenggara Barat,742343,465,144457,364278,81026,590226,68.59362855176111,0.9795349173032767
Nusa Tenggara Timur,883667,103,50879,144933,174306,370221,22.170681942405906,0.2893694352145974
Papua,533347,9,1856,12571,193902,233115,2.7066806413085667,0.0
Papua Barat,31247,1,1258,3277,28487,33023,14.516593592984927,0.17557683992589335
Riau,704346,93,67142,186159,119215,372609,35.975784628577436,0.4946085690175612
Sulawesi Barat,192391,271,23575,59151,36065,119062,43.13975185949447,0.6011145807793602
Sulawesi Selatan,1042647,1167,175732,552643,97085,826627,69.97018166263366,1.0
Sulawesi Tengah,429713,136,36236,105231,86778,228381,32.95292439372325,0.44966799665728774
Sulawesi Tenggara,308594,81,27116,69511,65075,161783,31.33826321963486,0.4256629842869611
Sulawesi Utara,257186,22,14111,59699,34576,108408,28.70762794242299,0.38655358264612383
Sumatera Barat,756022,165,80664,304113,83172,468114,50.916772263241015,0.7167347950956048
Sumatera Selatan,1160436,226,169266,425545,17117,766207,51.27702001661445,0.7220905637948764
Sumatera Utara,1468189,241,137969,464226,223845,826281,41.032591852956266,0.5697876356375937
