Province,No Schooling,Elementary Incomplete,Elementary,Junior High School,Senior High School,University,Higher Education Level,A4
Aceh,0.91,7.64,19.74,24.27,34.46,12.99,47.45,0.45537190082644635
Bali,5.06,5.87,20.16,20.21,32.69,16.0,48.69,0.4895316804407713
Bangka Belitung,2.05,13.14,26.06,17.78,31.91,9.06,40.97,0.27685950413223137
Banten,2.21,5.53,25.91,23.2,34.43,8.71,43.14,0.33663911845730027
Bengkulu,1.93,10.12,23.39,21.81,29.7,13.05,42.75,0.3258953168044077
DI Yogyakarta,2.48,10.88,14.15,19.92,36.99,15.59,52.58,0.596694214876033
DKI Jakarta,0.64,2.68,11.11,18.34,48.99,18.23,67.22,1.0
Gorontalo,3.61,18.72,23.21,20.48,21.6,12.39,33.99,0.08457300275482095
Jambi,2.24,6.8,26.1,24.66,30.08,10.12,40.199999999999996,0.25564738292011
Jawa Barat,1.43,5.93,29.51,23.88,30.44,8.81,39.25,0.22947658402203855
Jawa Tengah,3.41,11.34,27.41,24.39,25.62,7.82,33.44,0.06942148760330569
Jawa Timur,4.25,10.55,26.13,22.05,27.64,9.38,37.02,0.16804407713498629
Kalimantan Barat,4.47,13.42,26.85,21.27,25.78,8.2,33.980000000000004,0.08429752066115709
Kalimantan Selatan,1.15,11.41,28.12,21.86,27.13,10.34,37.47,0.1804407713498622
Kalimantan Tengah,1.0,7.92,29.25,26.85,24.47,10.5,34.97,0.11157024793388423
Kalimantan Timur,1.48,5.27,19.87,21.51,39.07,12.8,51.870000000000005,0.5771349862258954
Kalimantan Utara,3.57,6.35,22.64,24.76,31.34,11.34,42.68,0.3239669421487603
Kepulauan Riau,0.84,5.25,16.9,19.05,44.55,13.41,57.959999999999994,0.7449035812672175
Lampung,1.62,11.25,24.56,26.71,28.41,7.46,35.87,0.13636363636363627
Maluku,1.4,4.8,20.16,23.1,36.43,14.1,50.53,0.5402203856749311
Maluku Utara,1.82,7.79,24.57,24.28,29.56,11.98,41.54,0.2925619834710743
Nusa Tenggara Barat,5.91,10.97,24.29,23.08,26.32,9.44,35.76,0.13333333333333325
Nusa Tenggara Timur,3.02,14.89,29.54,21.63,20.73,10.19,30.92,0.0
Papua,25.552500000000002,4.4125,15.47,18.325,26.7375,9.5025,36.24,0.14655647382920112
Papua Barat,4.82,5.5600000000000005,18.490000000000002,20.990000000000002,35.71,14.43,50.14,0.5294765840220386
Riau,1.38,6.36,23.34,24.47,34.05,10.39,44.44,0.3724517906336087
Sulawesi Barat,5.9,13.05,26.31,17.88,24.44,12.42,36.86,0.16363636363636358
Sulawesi Selatan,4.54,10.57,21.96,20.56,29.85,12.53,42.38,0.31570247933884305
Sulawesi Tengah,2.43,6.14,29.91,25.43,23.98,12.11,36.09,0.14242424242424248
Sulawesi Tenggara,4.01,6.74,21.92,26.82,25.31,15.21,40.519999999999996,0.2644628099173552
Sulawesi Utara,0.47,9.01,17.98,23.77,36.98,11.79,48.769999999999996,0.4917355371900825
Sumatera Barat,0.89,10.96,19.15,22.03,34.41,12.56,46.97,0.4421487603305785
Sumatera Selatan,1.26,9.76,28.75,20.56,31.26,8.4,39.660000000000004,0.24077134986225904
Sumatera Utara,1.29,6.52,16.88,22.8,41.29,11.22,52.51,0.5947658402203856
