Province,Available and Updated,Available and Not Updated,NA,Total,Available (%),A6
Aceh,6045,221,250,6516,96.16329036218539,0.9429302509187194
Bali,624,12,1,637,99.84301412872841,0.9976648886341374
Bangka Belitung,309,0,0,309,100.0,1.0
Banten,118,47,11,176,93.75,0.907033378746594
Bengkulu,1281,34,27,1342,97.98807749627422,0.9700733380167871
DI Yogyakarta,391,1,0,392,100.0,1.0
DKI Jakarta,0,0,0,0,,
Gorontalo,642,8,10,660,98.48484848484848,0.9774626372719014
Jambi,1316,60,38,1414,97.31258840169731,0.9600256678061732
Jawa Barat,5183,108,20,5311,99.62342308416494,0.9943985466388456
Jawa Tengah,7707,91,12,7810,99.84635083226632,0.9977145209627843
Jawa Timur,7472,154,95,7721,98.7695894314208,0.9816980618695536
Kalimantan Barat,1926,62,70,2058,96.5986394557823,0.9494059204063094
Kalimantan Selatan,1831,28,12,1871,99.35863174772848,0.9904598656971384
Kalimantan Tengah,1349,44,45,1438,96.87065368567454,0.9534520394280581
Kalimantan Timur,817,18,20,855,97.6608187134503,0.9652054750864444
Kalimantan Utara,379,38,32,449,92.87305122494432,0.8939890644059155
Kepulauan Riau,268,7,11,286,96.15384615384616,0.9427897715363656
Lampung,2356,60,36,2452,98.53181076672104,0.9781611852194282
Maluku,993,107,127,1227,89.64955175224124,0.8460406076716209
Maluku Utara,873,96,122,1091,88.81759853345554,0.8336655869049966
Nusa Tenggara Barat,996,17,8,1021,99.21645445641528,0.9883450269143624
Nusa Tenggara Timur,2974,100,159,3233,95.08196721311475,0.9268459373743689
Papua,1216,573,3670,5459,32.77156988459425,0.0
Papua Barat,714,227,990,1931,48.73122734334542,0.2373944688482905
Riau,1484,68,47,1599,97.06066291432145,0.9562783619871412
Sulawesi Barat,527,33,17,577,97.05372616984403,0.9561751802756908
Sulawesi Selatan,218,58,29,305,90.49180327868852,0.8585688122571133
Sulawesi Tengah,1728,77,42,1847,97.72604223064428,0.9661756526896107
Sulawesi Tenggara,1777,100,38,1915,98.01566579634465,0.9704837045837751
Sulawesi Utara,147,22,14,183,92.34972677595628,0.8862047914712406
Sumatera Barat,985,21,50,1056,95.26515151515152,0.9295707414746923
Sumatera Selatan,266,110,111,487,77.20739219712526,0.6609677220820348
Sumatera Utara,4671,337,413,5421,92.38147943183914,0.8866771014125608
