,Province,City (M),City (W),City (T),Rural (M),Rural (W),Rural (T),Total (M),Total (W),Total,% Rural (T),% Rural (M),% Rural (W),E3
0,Aceh,924738,907871,1832610,1790648.0,1784598.0,3575245.0,2715386,2692469,5407855,0.6611207216169812,0.6594451028325254,0.6628109738682229,0.8097022517895296
1,Sumatera Utara,4193026,4200554,8393580,3391967.0,3329659.0,6721626.0,7584993,7530213,15115206,0.4446929800361305,0.44719447994217004,0.44217328248218213,0.48009470913045543
2,Sumatera Barat,1374681,1358718,2733399,1467121.0,1440109.0,2907230.0,2841802,2798827,5640629,0.515408831178225,0.5162643280566345,0.514540198447421,0.5877910596617635
3,Riau,1334962,1308355,2643317,2048489.0,1922578.0,3971067.0,3383451,3230933,6614384,0.6003683789752757,0.6054436727471448,0.5950535031212346,0.7171797765160254
4,Jambi,618955,609478,1228433,1230314.0,1172389.0,2402703.0,1849269,1781867,3631136,0.6616945771240735,0.6652974770030753,0.6579553917323796,0.8105762021535289
5,Sumatera Selatan,1632906,1632887,3265793,2778706.0,2612509.0,5391215.0,4411612,4245396,8657008,0.6227573082986639,0.629861828284083,0.6153746317186901,0.7512768840455281
6,Bengkulu,343076,343374,686450,710120.0,663522.0,1373642.0,1053196,1006896,2060092,0.6667867260297113,0.6742524658278232,0.658977689850789,0.8183312647688005
7,Lampung,1520310,1497311,3017621,3176907.0,2982018.0,6158925.0,4697217,4479329,9176546,0.6711593882927193,0.6763381380932582,0.6657287285662652,0.8249905888132171
8,Bangka Belitung,435958,425681,861639,331624.0,301358.0,632982.0,767582,727039,1494621,0.42350669500829974,0.4320372285957722,0.41450046008535996,0.4478291626940743
9,Kepulauan Riau,961344,936294,1897638,150808.0,131374.0,282182.0,1112152,1067668,2179820,0.12945197309869622,0.13560016976096792,0.1230476140523084,0.0
10,DKI Jakarta,5375869,5304082,10679951,,,,5375869,5304082,10679951,,,,
11,Jawa Barat,19431090,18834986,38266077,5636136.0,5503596.0,11139731.0,25067226,24338582,49405808,0.22547411834657172,0.22484083400373062,0.22612640292684266,0.1462364441121409
12,Jawa Tengah,9588991,9554625,19143617,9025877.0,8862917.0,17888793.0,18614868,18417542,37032410,0.4830577594058826,0.4848746174294655,0.4812214898166107,0.5385221572956327
13,DI Yogyakarta,1377361,1371728,2749089,484724.0,528057.0,1012781.0,1862085,1899785,3761870,0.2692227535773432,0.26031249916088683,0.27795618977936976,0.2128632085360351
14,Jawa Timur,11333300,11268595,22601895,9192456.0,9355623.0,18548079.0,20525756,20624218,41149974,0.45074339536642233,0.4478498136682517,0.453623162827313,0.48930915878703646
15,Banten,4503237,4370677,8873914,1737804.0,1640267.0,3378071.0,6241041,6010944,12251985,0.27571622067771057,0.27844777818315886,0.27288010003087704,0.2227524016619084
16,Bali,1493935,1458839,2952774,725672.0,736618.0,1462290.0,2219607,2195457,4415064,0.33120471186827644,0.3269371559920292,0.3355192108066794,0.3072583207903476
17,Nusa Tenggara Barat,1356027,1360698,2716725,1385830.0,1371116.0,2756946.0,2741857,2731814,5473671,0.5036740425210064,0.5054348202696202,0.5019067916044064,0.5699196221802405
18,Nusa Tenggara Timur,717714,700499,1418213,2015335.0,2032737.0,4048072.0,2733049,2733236,5466285,0.7405526788303207,0.7373943899286108,0.7437107516511564,0.9306727523106424
19,Kalimantan Barat,1013537,1005220,2018757,1831577.0,1691042.0,3522619.0,2845114,2696262,5541376,0.635693914291324,0.6437622534633058,0.6271801479233101,0.770978623205415
20,Kalimantan Tengah,585707,570955,1156662,835174.0,749239.0,1584413.0,1420881,1320194,2741075,0.578026139379623,0.5877860285273714,0.5675218945094433,0.6831537748730135
21,Kalimantan Selatan,1025054,1001612,2026666,1090851.0,1064563.0,2155414.0,2115905,2066175,4182080,0.5153928188843829,0.5155481933262599,0.5152337047926725,0.5877666738192321
22,Kalimantan Timur,1353920,1293083,2647003,651208.0,561572.0,1212780.0,2005128,1854655,3859783,0.31420937394667003,0.32477128642161496,0.30279054595059457,0.28137535621249743
23,Kalimantan Utara,238600,222559,461159,144782.0,121814.0,266596.0,383382,344373,727755,0.3663265796868452,0.3776442295152094,0.3537269181962581,0.3607469930867808
24,Sulawesi Utara,717184,711690,1428874,642174.0,588495.0,1230669.0,1359358,1300185,2659543,0.46273701910441006,0.472409769906088,0.4526240496544722,0.5075747878555673
25,Sulawesi Tengah,482118,484035,966153,1089967.0,1010023.0,2099990.0,1572085,1494058,3066143,0.6848963013140613,0.6933257425648104,0.6760266335041879,0.8459111515452112
26,Sulawesi Selatan,2052651,2060417,4113068,2528996.0,2583683.0,5112679.0,4581647,4644100,9225747,0.5541750711351612,0.5519840354352922,0.5563366421911673,0.6468299102130197
27,Sulawesi Tenggara,508749,506318,1015067,858123.0,828471.0,1686594.0,1366872,1334789,2701661,0.6242803963931818,0.6278005548434674,0.6206756273838038,0.7535964634137754
28,Gorontalo,255124,263970,519094,346461.0,327182.0,673643.0,601585,591152,1192737,0.5647875432723224,0.5759136281655959,0.5534650986548298,0.6629921213839055
29,Sulawesi Barat,155496,156537,312033,584153.0,562420.0,1146573.0,739649,718957,1458606,0.7860745122397687,0.7897705533300254,0.782272096940429,1.0
30,Maluku,348979,347365,696344,603427.0,581956.0,1185383.0,952406,929321,1881727,0.6299441948805539,0.6335816868016371,0.626216345051925,0.7622221168900952
31,Maluku Utara,180932,178774,359706,494199.0,465433.0,959632.0,675131,644207,1319338,0.7273587208130138,0.7320046035510146,0.7224898208184636,0.9105790801766248
32,Papua Barat,267149,238914,506063,355737.0,321507.0,677244.0,622886,560421,1183307,0.5723316096330031,0.5711109255947316,0.5736883521495447,0.6744813193796811
33,Papua,719320,615044,1334364,1629562.0,1454655.0,3084217.0,2348882,2069699,4418581,0.6980107414574951,0.6937606912565212,0.7028340836034612,0.865883722332362
