Province,Total Villages,Food Crops,Horticultural Crops,Estate Crops,Livestock,Fishery,Forestry,Agricultural Services,Total,Dependency on Agriculture (%),S1
Aceh,6516,3681,78,1484,7,277,4,88,5619,86.23388581952118,0.10042472609165883
Bali,717,238,69,113,22,8,0,0,450,62.76150627615063,0.07235828900012671
Bangka Belitung,393,4,4,192,1,42,0,5,248,63.104325699745544,0.07276820567552401
Banten,1552,626,47,25,0,17,0,5,720,46.391752577319586,0.05278461682329456
Bengkulu,1514,215,38,1072,0,12,0,0,1337,88.30911492734478,0.10290612287964224
DI Yogyakarta,438,271,12,3,9,0,0,0,295,67.35159817351598,0.07784676217532047
DKI Jakarta,267,0,0,0,0,6,0,0,6,2.247191011235955,0.0
Gorontalo,732,457,17,25,2,63,0,9,573,78.27868852459017,0.09091252286503844
Jambi,1585,247,80,1044,1,11,0,0,1383,87.25552050473186,0.10164631700748446
Jawa Barat,5957,2699,268,56,6,66,1,25,3121,52.39214369649152,0.059959415593042305
Jawa Tengah,8563,4531,697,283,40,120,12,12,5695,66.5070652808595,0.07683693574252631
Jawa Timur,8494,5066,339,402,90,169,5,38,6109,71.92135625147162,0.08331092175835206
Kalimantan Barat,2157,846,53,958,1,64,4,19,1945,90.17153453871117,0.105133058702824
Kalimantan Selatan,2015,836,25,622,7,109,0,3,1602,79.50372208436724,0.09237732225944878
Kalimantan Tengah,1577,310,30,728,1,70,32,13,1184,75.07926442612556,0.08708690156308355
Kalimantan Timur,1052,201,32,423,3,111,8,11,789,75.0,0.0869921233568374
Kalimantan Utara,484,309,6,87,3,32,3,0,440,90.9090909090909,0.10601497097049471
Kepulauan Riau,430,6,18,41,0,235,1,0,301,70.0,0.08101351410683082
Lampung,2657,1364,58,820,1,36,9,6,2294,86.33797515995484,0.10054918799036758
Maluku,1262,350,40,481,6,201,18,2,1098,87.00475435816165,0.10134647044678982
Maluku Utara,1209,33,36,515,1,60,2,6,653,54.01157981803143,0.06189581074824896
Nusa Tenggara Barat,1166,760,56,35,8,32,0,2,893,76.58662092624357,0.08888928066601616
Nusa Tenggara Timur,3538,2195,107,850,22,99,0,14,3287,92.9055963821368,0.1084022361882629
Papua,5561,1808,272,318,10,446,197,4,5377,96.69124258226938,0.11292881606613589
Papua Barat,2026,837,469,223,4,288,16,8,1845,91.06614017769003,0.10620275821248541
Riau,187,61,6,1496,1,46,8,12,163,87.16577540106952,0.10153900682610477
Sulawesi Barat,650,229,7,311,6,34,0,1,588,90.46153846153845,0.10547982272993467
Sulawesi Selatan,306,1885,81,381,15,197,2,5,2566,838.562091503268,1.0
Sulawesi Tengah,2022,647,43,924,2,147,0,10,1773,87.68545994065282,0.10216040498519238
Sulawesi Tenggara,2292,679,65,769,8,296,3,1,1821,79.45026178010471,0.09231339860553435
Sulawesi Utara,1838,386,98,713,1,115,1,27,1341,72.95973884657236,0.08455253851597508
Sumatera Barat,1286,568,61,288,1,32,0,8,958,74.4945567651633,0.08638775383700781
Sumatera Selatan,3283,767,28,1995,2,28,1,7,2828,86.14072494669509,0.10031333160045547
Sumatera Utara,6113,2153,399,2405,27,200,1,48,5233,85.60444953378047,0.09967209537161498
