Province,Individual,Company,Group,Total(2023),Individual (%),Groups (%),2015,2016,2017,2018,2019,Farmer per Ha,S3
Aceh,825798,105,273,826176,99.95424703695096,0.04575296304903556,901329,944060,946788,855824,889119,0.9100464611912402,0.06654838820778335
Sumatera Utara,1516399,435,307,1517141,99.95109221885112,0.048907781148884645,1369698,1357074,1452778,1281768,1359958,1.111521510051785,0.08251055108352938
Sumatera Barat,769204,96,1251,770551,99.82519002635776,0.17480997364223783,716693,707464,708019,667145,661090,1.111434450994405,0.08250365369915565
Riau,728647,322,272,729241,99.91854544656704,0.0814545534329529,683737,715388,727422,749409,706327,1.0170148477939907,0.07502311904500339
Jambi,565489,144,164,565797,99.94556351482953,0.054436485170476334,710970,693505,745906,650423,598145,0.8318586127652988,0.0603538386665998
Sumatera Selatan,1185289,230,131,1185650,99.96955256610298,0.030447433897018514,1200977,1184582,1192867,1020738,1052291,1.0486582658802026,0.07753011629500557
Bengkulu,335782,93,352,336227,99.86764893955572,0.13235106044428316,326018,323177,323090,283652,291171,1.085192501105288,0.08042459586705067
Lampung,1371783,216,353,1372352,99.95853833418832,0.0414616658116868,1126560,1136982,1153822,990765,1147128,1.2346710512222927,0.09226725815646157
Bangka Belitung,167480,223,281,167984,99.69997142585008,0.300028574149919,10668,13820,13679,5409,22402,12.69210949104247,1.0
Kepulauan Riau,81006,33,96,81135,99.84100573118876,0.1589942688112405,63750,54242,56159,55369,62617,1.386438554513807,0.10429126619361204
DKI Jakarta,13416,43,339,13798,97.23148282359763,2.7685171764023773,1613,1498,1507,1512,1160,9.201646090534979,0.7234628028342335
Jawa Barat,3292120,619,943,3293682,99.95257587101608,0.047424128983915265,1692201,1689171,1608855,1643307,1657898,1.985254175635765,0.15173333175432455
Jawa Tengah,4363708,285,2324,4366317,99.94024712360554,0.05975287639445327,1695918,1686164,1680291,1713240,1781781,2.549671079770313,0.19645010737777147
DI Yogyakarta,431133,35,537,431705,99.86750211371191,0.13249788628809026,157339,157682,154455,176884,177298,2.6171845596109065,0.20179896406061498
Jawa Timur,5676717,637,1591,5678945,99.96076736083903,0.03923263916097092,2247804,2250050,2292368,2475822,2411805,2.430549067726428,0.18701248733953438
Banten,609226,209,132,609567,99.94405865146899,0.05594134853100643,433600,427751,397403,391041,441856,1.4563280394291398,0.10982836544153288
Bali,369271,105,341,369717,99.87936719166282,0.12063280833718762,200211,201077,197868,195128,195909,1.8646415395786478,0.14217761479331575
Nusa Tenggara Barat,768765,144,374,769283,99.93266457207555,0.06733542792444394,592907,596427,599802,557377,568596,1.3185870579796501,0.09891562963133484
Nusa Tenggara Timur,901801,48,536,902385,99.93528261218881,0.06471738781118924,1050500,1062586,1064704,1059301,1074166,0.8489525172666283,0.06170812888454899
Kalimantan Barat,729776,427,392,730595,99.88789958869141,0.11210041130859094,1168106,1015674,1189773,979293,1069879,0.6728867866248058,0.04775905734821562
Kalimantan Tengah,310633,273,193,311099,99.8502084545434,0.14979154545659099,944819,941530,915265,879636,854332,0.34244006612602307,0.02157892038242859
Kalimantan Selatan,487982,158,347,488487,99.89661956203543,0.10338043796457223,795821,798930,784455,597585,629031,0.676658470662168,0.048057874672051575
Kalimantan Timur,210037,342,203,210582,99.74119345433134,0.2588065456686706,419598,403225,360033,377620,409781,0.5330192964674151,0.03667784569674502
Kalimantan Utara,61224,67,42,61333,99.82228164283502,0.17771835716498458,91365,95588,93866,87511,57478,0.7189155675797542,0.05140575654362554
Sulawesi Utara,271269,37,279,271585,99.88364600401347,0.11635399598652356,403816,421243,411859,401515,431642,0.6552153907467121,0.046359014509942564
Sulawesi Tengah,457492,47,66,457605,99.97530621387442,0.024693786125588663,739301,771720,725598,689710,677964,0.6346487369367585,0.04472959052032093
Sulawesi Selatan,1121665,95,329,1122089,99.9622133360188,0.03778666398119935,1261546,1258867,1245551,1236185,1241353,0.8982659091003735,0.06561505630239797
Sulawesi Tenggara,349855,44,51,349950,99.9728532647521,0.027146735247892555,453066,459456,481369,476250,530889,0.7285519131372786,0.05216921047097832
Gorontalo,149235,30,31,149296,99.95914157110705,0.04085842889293752,243412,262087,313376,313892,317897,0.5143679032498222,0.03520016109965691
Sulawesi Barat,206308,16,29,206353,99.97819270861098,0.02180729138902754,291331,295546,289100,269716,268298,0.7295237381284605,0.052246204763242786
Maluku,208862,33,149,209044,99.91293698934196,0.08706301065804328,1129019,863460,794327,916011,756490,0.23418661240412467,0.013002378175621523
Maluku Utara,153790,23,51,153864,99.95190557895283,0.048094421047158525,376991,377990,378450,326470,1075550,0.30327937712067793,0.018476356071041204
Papua Barat,50105,25,113,50243,99.72533487251955,0.274665127480445,679534,678637,786754,752961,677463,0.07007008266885274,0.0
Papua,73676,27,33,73736,99.91862862102636,0.08137137897363567,806157,809616,903276,851504,819514,0.08791744857540464,0.0014139843276603724
